LINEA;GRUPO;DETALLE;CODIGO;SOCOFAR;STOCK;COSTO;PNETO;PRECIO;VALORIZADO
COSMETICA NACIONAL;0177 TINTURA PARA EL CABELLO;ILICIT 8/1;79109;256442;10;1413;2101;2.500;14.130
COSMETICA NACIONAL;0177 TINTURA PARA EL CABELLO;ILICIT 8/11;79108;277503;2;1225;2101;2.500;2.450
COSMETICA NACIONAL;0177 TINTURA PARA EL CABELLO;ILICIT 8/31;79111;277504;1;1314;2101;2.500;1.314
COSMETICA NACIONAL;0177 TINTURA PARA EL CABELLO;ILICIT 9/1;79293;0;2;1351;2101;2.500;2.702
COSMETICA NACIONAL;0177 TINTURA PARA EL CABELLO;ILICIT CR. REVAL. 30 VOL;79272;264005;9;740;1345;1.600;6.660
COSMETICA NACIONAL;0177 TINTURA PARA EL CABELLO;ILICIT CR. REVEL. 20 VOL;79273;264004;13;727;1345;1.600;9.451
COSMETICA NACIONAL;0177 TINTURA PARA EL CABELLO;ILICIT Nº 10/0;79138;277505;1;1173;2101;2.500;1.173
D & M PHARMA LTDA;;GAMALATE B6 X 30COMREC;823048;0;2;13990;18908;22.500;27.980
D & M PHARMA LTDA;;MICROCORT LOC TOP. 1% X 100GR;823047;0;1;9881;14034;16.700;9.881
D & M PHARMA LTDA;;MIRAGREAN 2.5MG X 10COM;823046;0;2;7306;13109;15.600;14.612
D & M PHARMA LTDA;;TKC SH. 2%  X 200ML;823043;0;1;11690;15798;18.800;11.690
DENTAID S.A.;;INTERPROX 4G NANO BLISTER 0.6;46100;276005;4;3304;4454;5.300;13.216
DENTAID S.A.;;PEPSODENT CEP.BAMB.SUA. X 2UN;46122;0;1;1300;2227;2.650;1.300
DENTAID S.A.;;PHB CEP.ADULTO SUP.8 + PAST. 15 ML;46106;0;5;2280;3529;4.200;11.400
DENTAID S.A.;;PHB SUPER 7 SUAVE;46102;0;2;2390;3613;4.300;4.780
DENTAID S.A.;;VITIS BABY CEP. +0AÑOS;46118;0;3;2370;3613;4.300;7.110
DENTAID S.A.;;VITIS CEP SENSIBLE+MINI PASTA;46098;274729;9;2733;3739;4.450;24.597
DENTAID S.A.;;VITIS CEP. MEDIO + V. BLANQ. 15ML;46095;268074;5;2650;3361;4.000;13.250
DENTAID S.A.;;VITIS CEP. SUAVE+ ANTICARIES 15ML;46092;268073;3;2650;3613;4.300;7.950
DENTAID S.A.;;VITIS COLUT. SENS. X 500ML;46114;0;1;4200;6050;7.200;4.200
DENTAID S.A.;0165 PASTA DENTALES;VITIS  ENCIAS P/DENTAL;46078;258196;2;2990;4303;5.120;5.980
DENTAID S.A.;0165 PASTA DENTALES;VITIS BLANQUEADORA PASTA X 100ML;46112;0;2;3570;4832;5.750;7.140
DENTAID S.A.;0165 PASTA DENTALES;VITIS PASTA DENTAL ALOE VERA 130GR;46086;46036;2;2470;4118;4.900;4.940
DENTAID S.A.;0166 CEPILLOS DENTALES;CEPILLO PHB JUNIOR.;46083;0;4;1961;3109;3.700;7.844
DENTAID S.A.;0166 CEPILLOS DENTALES;INTERPROX MINI CON. 1.0 X 6 UN;46110;0;2;3222;4454;5.300;6.444
DENTAID S.A.;0166 CEPILLOS DENTALES;INTERPROX PLUS CONICO X6;46041;250154;4;3163;4286;5.100;12.652
DENTAID S.A.;0166 CEPILLOS DENTALES;INTERPROX PLUS NANO X 6;46076;261687;2;3056;5034;5.990;6.112
DENTAID S.A.;0166 CEPILLOS DENTALES;INTERPROX SUPER MICRO 0.7;46091;266086;2;3130;4286;5.100;6.260
DENTAID S.A.;0166 CEPILLOS DENTALES;PHB CEP SUPER 6;46059;258195;3;2286;3067;3.650;6.858
DENTAID S.A.;0166 CEPILLOS DENTALES;PHB CEP SUPER 7 (SUAVE);46049;253208;2;2472;3361;4.000;4.944
DENTAID S.A.;0166 CEPILLOS DENTALES;PHB CEP SUPER 9 AD.(DURO);46050;253209;3;2168;3025;3.600;6.504
DENTAID S.A.;0166 CEPILLOS DENTALES;PHB CEP. ADULTO PLUS SUA.2;46105;0;1;2333;5084;6.050;2.333
DENTAID S.A.;0166 CEPILLOS DENTALES;PHB CEP.PETIT;46004;46004;4;1952;2899;3.450;7.808
DENTAID S.A.;0166 CEPILLOS DENTALES;PHB PLUS CEP SENSIBLE;46082;259558;4;2422;3529;4.200;9.688
DENTAID S.A.;0166 CEPILLOS DENTALES;VITIS CEP. ACCES ORTHOD.+PASTA;46072;271902;4;2650;3739;4.450;10.600
DENTAID S.A.;0166 CEPILLOS DENTALES;VITIS CEP. ENCIAS+ ENCIAS 15ML;46080;276041;2;2657;3529;4.200;5.314
DENTAID S.A.;0166 CEPILLOS DENTALES;VITIS CEP.DURO;46025;46025;1;2738;3697;4.400;2.738
DENTAID S.A.;0166 CEPILLOS DENTALES;VITIS MONOTIP UNIPEN.;46029;46021;4;2650;3950;4.700;10.600
DENTAID S.A.;0167 SEDA/PALILLOS DENTALES;VITIS CERA ORTODONCIA X2;46061;265320;1;3482;4790;5.700;3.482
DENTAID S.A.;0167 SEDA/PALILLOS DENTALES;VITIS SEDA DENT.C/CERA;46033;46008;4;2464;4454;5.300;9.856
DENTAID S.A.;0170 ENJUAGUES BUCALES;HALITA LIMP.LINGUAL.DENTAID;46039;46027;2;2157;3067;3.650;4.314
DENTAID S.A.;0170 ENJUAGUES BUCALES;PERIO-AID TRATAM. 150 ML.;46071;253784;5;3548;5210;6.200;17.740
DENTAID S.A.;0170 ENJUAGUES BUCALES;PERIOAID MANT. X 150 ML;46101;0;3;3345;4790;5.700;10.035
DENTAID S.A.;0170 ENJUAGUES BUCALES;VITIS ENCIAS COLUT.500ML;46056;258197;1;4657;6345;7.550;4.657
DEUTSCHE PHARMA;;ELECTROLIC MARACUY. X 625 ML;71011;0;11;1200;2269;2.700;13.200
DEUTSCHE PHARMA;0036 ANTIACNE (piel y Mucosa);ORALNE 20MG X 30 CAPS;71006;0;2;20641;32689;38.900;41.282
DIFEM LABORATORIOS;;AGUA OXIG. 10 VOL X 1 LT;899024;0;21;1900;3866;4.600;39.900
DIFEM LABORATORIOS;;AGUA OXIG. 10VOL X 110CC;899013;0;3;968;1387;1.650;2.904
DIFEM LABORATORIOS;;AGUA OXIG. 10VOL. X 500ML;899012;0;28;1264;2269;2.700;35.392
DIFEM LABORATORIOS;;ALCOHOL 70% 1LT;899022;0;27;2522;4370;5.200;68.094
DIFEM LABORATORIOS;;ALCOHOL 70° 250 ML;899025;0;15;1190;1597;1.900;17.850
DIFEM LABORATORIOS;;ALCOHOL 70° X 125ML;899026;0;3;790;1092;1.300;2.370
DIFEM LABORATORIOS;;ALCOHOL ISOPROPILICO  290ML;899015;0;2;3970;5294;6.300;7.940
DIFEM LABORATORIOS;;KITADOL DUO X 10 COMP.REC;899021;0;6;1370;3277;3.900;8.220
DIFEM LABORATORIOS;0233 RECETARIO FARMACIA;VASELINA SOLIDA 80 GR;899006;0;4;1781;2521;3.000;7.124
DIVEN;;ALCOHOL GEL 70% S/ENJ X 60ML;5032;0;1;400;1092;1.300;400
DIVEN;;CLIDAN (CLINDAMICINA 1%) GEL DERM. 15 G. X 2;5028;0;1;9690;15294;18.200;9.690
DIVEN;;DOVE DES.SP ORIGINAL 72HRS;5033;0;8;1428;2689;3.200;11.424
DIVEN;;WIN TOA.HUM.ADULTO X 45UN;5031;0;1;1200;3025;3.600;1.200
DRAG PHARMA-INV.;;CANISH SH. HIPOALER. 390ML;152271;0;2;2892;4118;4.900;5.784
DRAG PHARMA-INV.;;COLONIA ANIMAL CACHORRO;152249;0;2;1487;2101;2.500;2.974
DRAG PHARMA-INV.;;DERMISOLONA 20MG X 10COMP;152283;0;1;6709;10916;12.990;6.709
DRAG PHARMA-INV.;;DORAZEL SH.1% 100ML.;152044;152044;3;1510;3193;3.800;4.530
DRAG PHARMA-INV.;;MAMISTOP 125GR PERRO;152252;0;2;5299;7479;8.900;10.598
DRAG PHARMA-INV.;;MEBERMIC SOBRE;152278;0;7;647;1218;1.450;4.529
DRAG PHARMA-INV.;;PREVICOX 57MG X 10COM;152338;0;2;13290;17815;21.200;26.580
DRAG PHARMA-INV.;;SIMPARICA 40MG 10-20KG X 1 COM;152312;0;-1;5133;8950;10.650;-5.133
DRAG PHARMA-INV.;;SIMPARICA 5MG 1.3-2.5KG X 1COM;152339;0;2;4105;6303;7.500;8.210
DRAG PHARMA-INV.;;SINPUL GATO 100G.;152221;0;1;2930;4622;5.500;2.930
DRAG PHARMA-INV.;;TIDY SH.SECO GATO X100GR;152332;0;1;2290;4454;5.300;2.290
DRAG PHARMA-INV.;0123 ANALG GENERAL VET;NAXPET 30 MG RAZA GDE X 10 COMP;152260;0;1;7608;10420;12.400;7.608
DRAG PHARMA-INV.;0125 ANTIBIOTICOS ORALES VET;DOXIMICIN SOL.ORAL PERRO/GATO 60ML;152269;0;1;4756;8950;10.650;4.756
DRAG PHARMA-INV.;0125 ANTIBIOTICOS ORALES VET;ROSTRUM 50MG X 10COMP;152231;152173;3;4709;6723;8.000;14.127
DRAG PHARMA-INV.;0125 ANTIBIOTICOS ORALES VET;ROSTRUM RAZA GDE. 150MG X 10COMP.;152265;0;2;10885;15546;18.500;21.770
DRAG PHARMA-INV.;0126 ANTIBIOTICOS TOPICOS VET;OFTAVET 5ML;152297;0;1;11408;15672;18.650;11.408
DRAG PHARMA-INV.;0128 ANTIDIARREICOS VET;DIARREPAS COMPT.SUS.100ML;152049;152049;2;6580;10000;11.900;13.160
DRAG PHARMA-INV.;0130 ANTIPARASITARIOS VET;DOGUIPET SHAMP.300ML.;152024;152083;3;3640;5462;6.500;10.920
DRAG PHARMA-INV.;0130 ANTIPARASITARIOS VET;INVERMIC GATOS GTS. 2% 10;152217;152217;2;1069;3025;3.600;2.138
DRAG PHARMA-INV.;0130 ANTIPARASITARIOS VET;INVERMICGOTAS PERROS 10ML.;152010;152010;2;1640;3025;3.600;3.280
DRAG PHARMA-INV.;0139 DIGESTIVOS VET;GASTROENTERIL SUSP. 2.5% X 120 ML;152258;0;1;7310;10336;12.300;7.310
DRAG PHARMA-INV.;0139 DIGESTIVOS VET;HEPROTEC JBE.180ML.;152008;152008;1;5365;7479;8.900;5.365
DRAG PHARMA-INV.;0141 VITAMINAS VET;MAMISTOP PERROS X 250 G;152259;0;2;8390;11597;13.800;16.780
DRAG PHARMA-INV.;0154 MASCOTAS ASEO/BELLEZA;CANISH EXT.BRILLO SH X 390ML;152296;0;2;2742;4118;4.900;5.484
DRAG PHARMA-INV.;0154 MASCOTAS ASEO/BELLEZA;CANISH SH. 300ML;152237;152126;3;3035;4118;4.900;9.105
DURALON - ORAL B;;ORAL B KIDS MICKY PASTA DENTAL X 50G/37ML;101199;0;4;870;1597;1.900;3.480
DURALON - ORAL B;;ORAL B KIDS MINNIE PASTA DENTAL X 50G/37ML;101001;0;10;918;1597;1.900;9.180
DURALON - ORAL B;;ORAL-B FLO.RTO.CEP.ELEC X 2UN;101201;0;1;6656;8655;10.300;6.656
DURALON - ORAL B;;RPTO CEPILLO ELECTRICO X 2UN ORAL-B;101202;0;2;5900;9160;10.900;11.800
DURALON - ORAL B;0166 CEPILLOS DENTALES;CEPILLO ORAL-B;101070;272714;7;430;1261;1.500;3.010
DURALON - ORAL B;0166 CEPILLOS DENTALES;DURALON 2X 1 CEP DURO 6N;101188;129151;8;1482;2269;2.700;11.856
DURALON - ORAL B;0166 CEPILLOS DENTALES;DURALON 2X1 CEP MEDIO 6M;101187;129150;5;1520;2269;2.700;7.600
DURALON - ORAL B;0166 CEPILLOS DENTALES;ORAL-B CEP. ELECT. PRO-SALUD;101083;264180;3;10083;13109;15.600;30.249
DURANDIN;;BUBU MAMADERA STANDAR X 240ML;97962;7;4;1369;1849;2.200;5.476
DURANDIN;;SIMON. LANOLINA N/MED. 15 GRS.;97826;261138;3;4251;6050;7.200;12.753
DURANDIN;;SIMON.PROT. SOL.F50+ X 190ML;97994;0;4;3320;6303;7.500;13.280
DURANDIN;;SIMONDS JABON CREMOSO 750 ML;97969;0;4;1171;2185;2.600;4.684
DURANDIN;;VITIS KIDS CEP.+GEL DENT;97988;0;5;2124;3025;3.600;10.620
DURANDIN;0098 ACCESORIOS MEDICOS;DUREX PLACER PROLONG. X 3;97984;0;14;1490;2731;3.250;20.860
DURANDIN;0160 SHAMPOO CAPILAR;SIMON.SH.C/VITAMINAS 410M;97123;97123;4;1952;2689;3.200;7.808
DURANDIN;0161 BALSAMO/ACOND.CAPILAR;FAMIL.BALSAMO MANZANILLA 750;97159;97343;1;1015;1555;1.850;1.015
DURANDIN;0179 FILTROS SOLARES;S. GEL A/SUN GEL ALOE SP 200 ML;97526;251780;1;4208;5798;6.900;4.208
DURANDIN;0182 TALCOS CORPORALES;MUM TALCO   COLONIA 120GR.;97033;97033;5;1820;2941;3.500;9.100
DURANDIN;0182 TALCOS CORPORALES;MUM TALCO FLORAL 120GR.;97404;97032;3;1792;2941;3.500;5.376
DURANDIN;0182 TALCOS CORPORALES;MUM TALCO FRESH;97405;97031;4;1938;2941;3.500;7.752
DURANDIN;0182 TALCOS CORPORALES;SIMON.TALCO MENTOLAD.100G;97104;97104;5;1621;2513;2.990;8.105
DURANDIN;0186 FRAGANCIA FEMENINAS;451 COL.ING.220ML.;97116;97116;3;2335;3378;4.020;7.005
DURANDIN;0186 FRAGANCIA FEMENINAS;451 COL.ING.400ML.;97037;97037;2;3096;4748;5.650;6.192
DURANDIN;0188 PERFUMERIA BEBE;BABYL.ACE.EMUL.700ML;97304;97302;2;2249;3529;4.200;4.498
DURANDIN;0188 PERFUMERIA BEBE;BABYL.HUMEC.X 410ml.;97003;97260;2;1890;2605;3.100;3.780
DURANDIN;0188 PERFUMERIA BEBE;BABYL.TALCO REPTO. 200GR.;97301;277855;4;1430;2101;2.500;5.720
DURANDIN;0188 PERFUMERIA BEBE;BABYL.TALQUERA 100GR.;97122;97122;4;1250;1672;1.990;5.000
DURANDIN;0188 PERFUMERIA BEBE;BABYL.TALQUERA 200GR.;97112;97112;5;1590;2437;2.900;7.950
DURANDIN;0188 PERFUMERIA BEBE;SIMON.ACE.EMUL.360ML.;97018;97018;2;2156;2941;3.500;4.312
DURANDIN;0188 PERFUMERIA BEBE;SIMON.ACEITE CLEAR 210 ML;97136;97016;2;2369;3277;3.900;4.738
DURANDIN;0188 PERFUMERIA BEBE;SIMON.BAL.MANZLLA.410ML.;97188;97188;3;1852;2689;3.200;5.556
DURANDIN;0188 PERFUMERIA BEBE;SIMON.EST.SIMPLE 3 ART.;97026;289286;2;3619;4706;5.600;7.238
DURANDIN;0188 PERFUMERIA BEBE;SIMON.GLOSS 30gr.;97014;0;6;1366;1807;2.150;8.196
DURANDIN;0188 PERFUMERIA BEBE;SIMON.GLOSS 60gr.;97047;97103;1;2290;3445;4.100;2.290
DURANDIN;0188 PERFUMERIA BEBE;SIMON.LOC.LILA   230ML.;97195;97195;2;2127;2857;3.400;4.254
DURANDIN;0188 PERFUMERIA BEBE;SIMON.PVO.FECULA 100GR.;97408;97006;4;1761;2437;2.900;7.044
DURANDIN;0188 PERFUMERIA BEBE;SIMON.SH EVITA LAGR.420ML;97685;271074;2;2101;3277;3.900;4.202
DURANDIN;0188 PERFUMERIA BEBE;SIMON.SH.BABY 610ML.;97009;254425;4;2890;3824;4.550;11.560
DURANDIN;0188 PERFUMERIA BEBE;SIMON.SH.MANZLLA.410ML.;97181;97181;6;2057;2941;3.500;12.342
DURANDIN;0188 PERFUMERIA BEBE;SIMON.VASEL. S/PER. 110ML.;97827;279053;2;2395;3109;3.700;4.790
DURANDIN;0230 MAMADERA BEBE;BABYL.MAMADERA 240ml.;97201;274988;1;1447;2101;2.500;1.447
DURANDIN;0230 MAMADERA BEBE;SIMON ESCOB. MAMADERA/CHUPETE;97707;272270;2;2979;4160;4.950;5.958
DURANDIN;0230 MAMADERA BEBE;SIMON.MAMADERA FANSY 240;97144;97144;6;2582;3529;4.200;15.492
DURANDIN;0232 CHUPETE BEBE;SIMOND S DISPLAY 2 CH. RPT C18-19;97836;279198;3;1840;2857;3.400;5.520
ECI FARMA LIMITADA;;PASTA LASAR X 50 GR;86038;0;6;1265;2017;2.400;7.590
ESP.FARMACEUTICA KNOP;0032 ANTITUSIVOS;PALTO MIEL AD. JBE.200ML.;158003;0;7;1175;3655;4.350;8.225
ESP.FARMACEUTICA KNOP;0032 ANTITUSIVOS;PALTO MIEL PED.JBE.125ML.;158002;0;5;1072;3782;4.500;5.360
ESP.FARMACEUTICA KNOP;0032 ANTITUSIVOS;PALTO MIEL PLUS JBE.200ml;158018;158042;2;1718;3824;4.550;3.436
ESP.FARMACEUTICA KNOP;0052 ANTIHEMORROIDAL;HAMAMELIS UNTO.35GR;158041;158037;3;2710;4622;5.500;8.130
ETEX FARMACEUTICA LTDA;0033 ANTIASMATICOS;FESEMA LF 100mcgX200inhal;789003;104023;1;9365;13235;15.750;9.365
ETIENNE;;ETIENNE DEL.OJO RET.VERY-BLACK;88449;0;1;2665;3529;4.200;2.665
ETIENNE;;ETIENNE DELI. LABIOS LUXU.RED;88438;0;1;2610;3529;4.200;2.610
ETIENNE;;ETIENNE DELI. OJOS PLATEADO;88440;0;4;2298;3782;4.500;9.192
ETIENNE;;ETIENNE DELI. OJOS VERY BLACK;88441;0;6;2662;3782;4.500;15.972
ETIENNE;;ETIENNE MATE TOT.16HR #08;88463;0;2;3312;4958;5.900;6.624
ETIENNE;;ETIENNE MATE TOT.16HRS #04;88461;0;1;3725;4958;5.900;3.725
ETIENNE;;ETIENNE MATE TOT.LAB.LIQ #02;88453;0;1;2448;3277;3.900;2.448
ETIENNE;;ETIENNE MATE.TOT.16HR #05;88462;0;5;3544;5000;5.950;17.720
ETIENNE;;ETIENNE MATE.TOT.16HR #10;88464;0;2;3370;5000;5.950;6.740
ETIENNE;;ETIENNE MATTE TOT.LAB.LIQ.#03;88466;0;1;3367;5000;5.950;3.367
ETIENNE;;ETIENNE MINI MAKE DARK SOMB. 4;88443;0;3;3200;4958;5.900;9.600
ETIENNE;;ETIENNE MINI MAKE EARTH SOMB. 4;88446;0;1;3550;4958;5.900;3.550
ETIENNE;;ETIENNE MINI MAKE PINK SOMB. 4;88448;0;3;3190;4958;5.900;9.570
ETIENNE;;ETIENNE MINI MAKE PURPLE SOMB. 4;88447;0;2;3200;4958;5.900;6.400
EUROMED CHILE S.A.;;AFTAGEL GEL BUCAL X 20GR;869064;0;10;2758;4118;4.900;27.580
EUROMED CHILE S.A.;;BETINA 16 MH X 30 COMP;869041;0;3;11131;16723;19.900;33.393
EUROMED CHILE S.A.;;BETINA 24MG X 30COM;869044;0;2;12117;18151;21.600;24.234
EUROMED CHILE S.A.;;BISOPRIL 1.25MG X 30COM;869070;0;3;2639;4496;5.350;7.917
EUROMED CHILE S.A.;;BISOPRIL 5 MG X 30 COMP.;869080;0;2;5611;7227;8.600;11.222
EUROMED CHILE S.A.;;CLODAVAN CR. X 20GR;869069;0;4;2179;4622;5.500;8.716
EUROMED CHILE S.A.;;CLOTIMIN B X 15 GR;869055;0;3;2415;3319;3.950;7.245
EUROMED CHILE S.A.;;DESDOL X 20COM REC;869086;0;9;3101;5042;6.000;27.909
EUROMED CHILE S.A.;;DEUCODOL FTE. 200MG/5ML X 120ML;869065;0;9;2051;4118;4.900;18.459
EUROMED CHILE S.A.;;DICLAC GEL 1.16% X 60GR;869060;0;6;1602;3697;4.400;9.612
EUROMED CHILE S.A.;;DOLOSTAT BI (BE) 150MG X 10COM;869072;0;2;6190;8067;9.600;12.380
EUROMED CHILE S.A.;;ESANCOL X 10COM;869066;0;5;1597;2857;3.400;7.985
EUROMED CHILE S.A.;;ESCITALOPRAM 20MG X 30COM;869083;0;3;4440;6681;7.950;13.320
EUROMED CHILE S.A.;;EURODERM CR. 0.1% (MOMETASONA);869074;0;4;2619;5462;6.500;10.476
EUROMED CHILE S.A.;;FEMIPLUS CD X 21COM;869084;0;1;4500;9748;11.600;4.500
EUROMED CHILE S.A.;;FENASIL(LEVODROPOPIZINA) 30MG/5ML;869076;0;1;2530;3824;4.550;2.530
EUROMED CHILE S.A.;;FINDALER 5 MGX100ML JBE;869056;0;12;3200;5378;6.400;38.400
EUROMED CHILE S.A.;;GESIDOL 100MG/ML X 15ML GTS;869085;0;5;1200;2101;2.500;6.000
EUROMED CHILE S.A.;;GESIDOL JBE.INF. 120MG/5ML X 100ML;869059;0;3;2649;4613;5.490;7.947
EUROMED CHILE S.A.;;MAREAMIN COM 100 MG.20;869057;0;9;2386;4790;5.700;21.474
EUROMED CHILE S.A.;;MELATONINA COM.3MG.30;869054;0;2;989;2521;3.000;1.978
EUROMED CHILE S.A.;;MIO-RELAX 10MG X 20COM;869067;0;6;1249;3067;3.650;7.494
EUROMED CHILE S.A.;;MOMENTA(MELATONINA) X 30COMP;869075;0;24;1015;2521;3.000;24.360
EUROMED CHILE S.A.;;PARADOX 20MG X 30COMP;869037;0;1;5306;10000;11.900;5.306
EUROMED CHILE S.A.;;PROCION 20 MG;869077;0;6;2510;3529;4.200;15.060
EUROMED CHILE S.A.;;RADIGEN GOTAS   (RISPERIDONA)  1 MG / ML X 30 ML;869081;0;2;5983;8824;10.500;11.966
EUROMED CHILE S.A.;;TADALAFILO  5 MG X 30 COMP.;869079;0;4;7500;11933;14.200;30.000
EUROMED CHILE S.A.;;TIRIZ(LEVOCETIRIZINA) 5MG X 30COM;869071;0;7;2586;4118;4.900;18.102
EUROMED CHILE S.A.;;VESNIDAN 500MG X 30COM;869082;0;2;7550;11345;13.500;15.100
EUROMED CHILE S.A.;;VESNIDAN X 60COM;869078;0;2;10750;14277;16.990;21.500
EUROMED CHILE S.A.;0083 POMADA COCEDURAS;PASTA LASSAR 30 GR.;869010;42016;9;831;1513;1.800;7.479
EXELTIS;;CERCIORA T  1.5 MG (LEVONOR.) X 1;916009;0;2;3130;11176;13.300;6.260
EXELTIS;;EXELRING;916011;0;3;11597;16765;19.950;34.791
EXELTIS;;HEMOFOLIC  30CAP;916014;0;1;11434;15714;18.700;11.434
EXELTIS;;REGENESIS ULTRA X 30 CAPS;916020;0;1;10920;15672;18.650;10.920
EXELTIS;;REGENESIS UP CAP BLAN X 30;916015;0;2;9625;13891;16.530;19.250
EXELTIS;;SLINDA COM.REC.4 MG.28;916018;0;1;13783;18067;21.500;13.783
EXELTIS;;VIORA CD X28 COMP;916007;287264;2;10497;14193;16.890;20.994
EXELTIS;0002 ANTICONCEPTIVOS;DANIELLE X28 COMP;916002;274919;2;9050;12521;14.900;18.100
EXELTIS;0002 ANTICONCEPTIVOS;VIORA 20 X 28COMP;916006;274365;2;11103;14706;17.500;22.206
F.D.C. PROD.NATURALES;;SL.PROPOL.CARA.MIEL X 9UN;616043;0;2;309;840;1.000;618
FARMAGE;;PARCHE MEDIC/HIDROCOLOIDES 10X10 CM X 1UN;882004;0;10;2200;3109;3.700;22.000
FARMAGE;0002 ANTICONCEPTIVOS;ESCAPEL 2 X 2C (LEVONORG. 0.75);882001;264429;3;4746;11345;13.500;14.238
FARMAGE;0002 ANTICONCEPTIVOS;ESCAPEL-1 COMP. 1.5MG 1;882002;260164;4;5796;15042;17.900;23.184
FARMO-QUIMICA;;DEVELLOL ZONAS DELICADAS 40ML;56139;0;4;2603;4370;5.200;10.412
FARMO-QUIMICA;0004 ANTIMICOTICOS;NP-27 SOL.30ML.;56014;59182;2;3699;5672;6.750;7.398
FARMO-QUIMICA;0007 ANTIPARASITARIOS;VERMOIL COM.200MG. 2;56019;59202;1;3343;4454;5.300;3.343
FARMO-QUIMICA;0007 ANTIPARASITARIOS;VERMOIL SUS. 40MG.10ML.;56102;59204;3;3716;6050;7.200;11.148
FARMO-QUIMICA;0044 ANALG TOPICOS;DICLOTAREN GEL 30 GRS;56133;59136;2;834;2941;3.500;1.668
FARMO-QUIMICA;0052 ANTIHEMORROIDAL;VATANAL SUP.10;56017;59200;2;6220;11765;14.000;12.440
FARMO-QUIMICA;0052 ANTIHEMORROIDAL;VATANAL UNG.20GR.;56003;59201;2;6426;11681;13.900;12.852
FARMO-QUIMICA;0080 DERMO OTROS;QUITACALLOS UNG.5GR.;56016;59190;3;1353;2269;2.700;4.059
FARMO-QUIMICA;0181 DEPILACION;DEVELLOL CR.DEPILATORIA;56122;59158;4;2420;3782;4.500;9.680
FARMODENTAL;0168 ADHESIVOS DENTADURA;MAYON CR.AD.EXT.FUER.30GR;117018;264850;4;2490;10504;12.500;9.960
FUENTEVITAL;;SPIRULINA 700MG  X 60CAP;896001;0;2;2250;4193;4.990;4.500
GADOR;;NOVOINSOMNIUM 2MG X 30COM(ESZOPICLONA);889002;0;1;3857;6639;7.900;3.857
GALATERRA;;LAKES TALCO CORPORAL FRESH X 500GR;807020;0;6;1700;3109;3.700;10.200
GALDERMA CHILE;;LOCERYL LACA 5% 1.25ML;21150;0;1;12190;16345;19.450;12.190
GALDERMA CHILE;0004 ANTIMICOTICOS;LOCERYL ESM. 5% 2.5ML;21134;21061;1;19820;26807;31.900;19.820
GALENICUM;;ETOVITAE (ETERICOXIB) 120MG X 7COM;929009;0;3;3819;7059;8.400;11.457
GALENICUM;;ETOVITAE(ETORICOXIB) 60MG X 14COM;929010;0;3;4558;8235;9.800;13.674
GALENICUM;;ETOVITAE(ETORICOXIB) 90MG X 14COM;929011;0;3;6345;11176;13.300;19.035
GALENICUM;;IRBEVITAE 300MG X 28COM;929007;0;3;9406;14832;17.650;28.218
GALENICUM;;VENLAVITAE 150MG X 30 CAP.;929003;0;1;7800;18908;22.500;7.800
GALENICUM;;VENLAVITAE 75MG X 30CAP;929004;0;1;4899;13361;15.900;4.899
GALENICUM;0038 ANTIEPILEPTICOS;LEVEVITAE 1000 MG X 30 COMP;929002;0;1;10855;21765;25.900;10.855
GARDEN HOUSE;;ALOE FEROX GARDEN HOUSE 150MG X 20 CAPS;51216;0;2;1530;3361;4.000;3.060
GARDEN HOUSE;0012 OTROS CARDIOVASCULAR;GINKOMAX 80MG X 30;51196;51189;2;3070;6639;7.900;6.140
GARDEN HOUSE;0025 LAXANTES;CIRUELAX FORTE 24 COMP.;51205;264509;3;2290;4076;4.850;6.870
GARDEN HOUSE;0025 LAXANTES;CIRUELAX FORTE X 60 COMP;51215;273060;3;5014;7983;9.500;15.042
GARDEN HOUSE;0025 LAXANTES;CIRUELAX FTE. JALEA 150 GRS;51213;275243;4;2316;3992;4.750;9.264
GARDEN HOUSE;0025 LAXANTES;CIRUELAX JAL.300GR. LAX.;51004;51004;2;2720;4790;5.700;5.440
GARDEN HOUSE;0025 LAXANTES;CIRUELAX JAL.600 G.H.;51138;51086;2;3845;6555;7.800;7.690
GARDEN HOUSE;0025 LAXANTES;CIRUELAX JAL.G.H.150GR.;51134;51157;2;1792;3109;3.700;3.584
GARDEN HOUSE;0025 LAXANTES;CIRUELAX MINI TABS. X 20 COMP.;51209;267510;2;1671;2941;3.500;3.342
GARDEN HOUSE;0025 LAXANTES;CIRUELAX MINITABS X 60 COMP;51219;267907;3;2490;6345;7.550;7.470
GARDEN HOUSE;0025 LAXANTES;CIRUELAX X 30bolsitas;51148;51161;2;3390;5294;6.300;6.780
GARDEN HOUSE;0058 ANTIRREUMATICO;FINARTRIT SBR. 30;51191;253108;2;12750;18025;21.450;25.500
GARDEN HOUSE;0058 ANTIRREUMATICO;FINARTRIT X 60 CAP;51156;51166;3;7416;11681;13.900;22.248
GARDEN HOUSE;0158 SUPLEMENTOS DIETARIOS;GARDEN HOUSE HIDROLÁGENO X 30 SOBRES;51221;274;3;6550;13866;16.500;19.650
GARNIER;;BI-O MUJER SP. ALOE X 150ML;932040;0;2;2070;2815;3.350;4.140
GARNIER;;BI-O SP. OLOR BLOCK WOMAN X 150ML;932015;0;3;1840;2773;3.300;5.520
